site,longitude,latitude,charger_num,total_duration,total_volume,avg_power,perimeter,area
1948,4.87559080124,52.3249473572,1,9591.893518518516,61388.11851851853,6.400000000000004,398.96673663774686,11578.570771482202
1949,4.87110710144,52.3917961121,1,5694.405172413792,36444.19310344829,6.400000000000003,399.37574039742896,11596.099584579995
1951,4.92227506638,52.3459854126,1,1986.4166666666663,12679.466666666664,6.396361010830327,399.0952706554134,11584.079868861543
1952,4.93190741539,52.4084587097,2,5626.333333333332,36008.53333333334,3.200000000000001,449.5347900181616,15305.984353930407
1953,4.80978393555,52.3480529785,1,9811.056685042942,62790.76278427483,6.400000000000001,399.10791176055,11584.621656008172
1954,4.940929412839999,52.34111785885,2,8389.113003478544,53829.59115360866,3.2023662840818226,467.251857126878,16072.495316026938
1955,4.87137794495,52.3815422058,1,5417.539414414414,34672.252252252256,6.400000000000006,399.3128925183431,11593.40637592407
1957,4.87636899948,52.373500824,2,65965.79166666666,422181.0666666666,3.2,438.571482430828,14455.531268300016
1959,4.840754508975,52.36024093625,2,4796.624999999999,30698.40000000001,3.200000000000002,467.4890205999392,14888.711044481532
1960,4.87868595123,52.3807525635,1,5321.874999999999,34060.00000000001,6.400000000000003,399.3080543392237,11593.199042060303
1961,4.91422700882,52.3892936707,1,5152.291666666666,32974.66666666668,6.400000000000004,399.3603988075174,11595.442163765452
1962,4.8669757843,52.3746109009,1,944.8239314168814,6046.873161068045,6.400000000000005,399.2704322133119,11591.586773878566
1964,4.90191316605,52.3529510498,2,11069.023504273504,70841.75042735045,3.200000000000002,399.13786510033145,11585.905414285337
1965,4.87029123306,52.3478240967,1,9903.166666666664,63380.266666666685,6.400000000000004,399.1065122978683,11584.561676402169
1966,4.92719602585,52.4102897644,1,11325.416666666664,72482.6666666667,6.400000000000004,399.4891929098965,11600.961083359538
1967,4.8847899437,52.3736839294,2,674.6249999999998,4314.4,3.3123875781506853,399.2647550930073,11591.343481918246
1970,4.96574783325,52.3251647949,1,9811.056685042942,62790.76278427483,6.400000000000001,398.9680642312681,11578.627675670108
1971,4.9195318222,52.339679718,2,19622.113370085885,125581.52556854968,3.2000000000000006,399.0567276931682,11582.427924082136
1973,4.932651042935,52.3584022522,2,9811.056685042942,62790.76278427483,3.2000000000000006,475.0728194676785,15175.222725831654
1974,4.90931177139,52.3500366211,1,5261.666666666667,33674.66666666667,6.400000000000001,399.12004129267416,11585.141513638446
1975,4.828117370605,52.352430343600005,2,9811.056685042942,62790.76278427483,3.2000000000000006,441.3015969520265,13885.123562198223
1979,4.89364480972,52.3416252136,1,8389.113003478544,53829.59115360866,6.404732568163645,399.068617732472,11582.937533283655
1981,4.85080194473,52.3578109741,1,5148.999999999999,32953.600000000006,6.400000000000003,399.16759421319546,11587.179539333449
1984,4.7958278656,52.3582878113,1,2383.666666666666,30487.937499999996,12.742084671444506,399.1705116062984,11587.304571183891
1985,4.87348079681,52.3847808838,2,18234.696336811878,116841.32448694202,6.402366284081824,399.3327385577719,11594.256845773823
1986,4.94812917709,52.3713188171,1,8680.539062499998,55555.45000000002,6.400000000000004,399.25027175754747,11590.72279735679
1987,4.8751680851,52.3721523285,2,13286.443463248655,85172.5060961374,6.4023662840818245,431.9447470026789,13974.457688783832
1989,4.81623888016,52.3571777344,1,9811.056685042942,62790.76278427483,6.400000000000001,399.1637200508701,11587.013502476562
1990,4.9441699981700005,52.296274185200005,2,9811.056685042942,62790.76278427483,3.2000000000000006,464.27679286598607,15306.919378903089
1993,4.87841320038,52.3489723206,1,11114.504901960783,71132.83137254904,6.400000000000003,399.1135331455628,11584.862582508433
1994,4.79717230797,52.37743377685,2,75826.66666666666,485290.6666666668,3.2000000000000006,450.3579357916448,15135.86127711666
1995,4.85064506531,52.3572349548,1,5692.416666666666,36431.46666666667,6.400000000000004,399.1640701185629,11587.028505502192
1998,4.879239559175,52.332233429,2,15512.430283224396,99279.55381263618,6.400000000000004,405.61454727393,12091.666269425525
1999,4.85617685318,52.3626594543,1,9811.056685042942,62790.76278427483,6.400000000000001,399.1972623133556,11588.45102644416
2001,4.8909201622,52.3484268188,1,10053.999999999998,64345.60000000002,6.400000000000004,399.1101975956269,11584.719624543808
2002,4.81347608566,52.3470344543,1,8389.113003478544,106818.09494544216,12.709391189949727,399.1016842968312,11584.354752654232
2007,4.93588399887,52.3557167053,1,9811.056685042942,62790.76278427483,6.400000000000001,399.1547820518954,11586.63044082676
2008,4.83331203461,52.3812065125,1,5226.999999999998,66382.89999999998,12.7,399.3108356794879,11593.318232864238
2015,4.78875017166,52.3545799255,1,735.1505376344082,4660.420912124583,6.373317223855993,399.1478282474099,11586.332415637024
2016,4.84984588623,52.3805923462,2,8389.113003478544,53829.59115360866,3.2023662840818226,405.910431715611,12104.904795048596
2017,4.80657815933,52.3428230286,1,9811.056685042942,62790.76278427483,6.400000000000001,399.0759389852656,11583.25132164896
2018,4.790116786955,52.3555221558,2,15919.721522177417,101886.21774193551,6.400000000000004,405.7569290711405,12098.037080177874
2019,4.7983751297,52.3647575378,1,8389.113003478544,53829.59115360866,6.404732568163645,399.2101033801809,11589.00134949012
2020,4.8993139267,52.3539276123,1,4921.666666666666,31498.666666666668,6.400000000000004,399.143838198696,11586.161410139795
2022,4.90872383118,52.3406906128,2,11137.33333333333,71278.93333333335,3.2000000000000024,399.0629056702753,11582.692713736333
2025,4.92548084259,52.3605308533,1,524.1249999999998,3353.333333333333,6.404369047619054,399.18423618790257,11587.892768016502
2026,4.87919998169,52.3665237427,1,504.4503225806449,3231.9913978494624,6.400684853370818,399.2209145281097,11589.464674009134
2027,4.98204183578,52.3276023865,1,8389.113003478544,53829.59115360866,6.404732568163645,398.982948488392,11579.265651540489
2028,4.8995051384,52.4105682373,1,10468.616666666663,66999.14666666668,6.400000000000004,399.49090225278576,11601.034327019666
2030,4.89754199982,52.3496932983,1,5604.658536585365,35869.81463414635,6.400000000000004,399.1179418424474,11585.05153392331
2035,4.859531402589999,52.327999115,2,10757.249999999998,68846.40000000002,3.200000000000002,414.9136811413616,12762.149388970534
2036,4.87446022034,52.3818054199,1,11386.152298850577,72871.37471264371,6.400000000000004,399.3145052965937,11593.47548932458
2037,4.89539289474,52.3554573059,1,4336.833333333333,27755.733333333337,6.400000000000004,399.1531952338708,11586.56243331974
